case,n_points,test_rel_rmse_percent
full_cover,5,26.088694965855435
narrow_centered,5,12.446864751008142
slight_shift_full_beam,5,23.32263197938181
strong_shift_full_beam,5,15.416830727908971
full_cover,8,25.185035992875584
narrow_centered,8,14.53337533616478
slight_shift_full_beam,8,26.911516938644677
strong_shift_full_beam,8,18.552127861729815
full_cover,10,41.26935396699976
narrow_centered,10,25.679405291416657
slight_shift_full_beam,10,36.858667609445625
strong_shift_full_beam,10,27.728515371148053
full_cover,15,37.82831553747935
narrow_centered,15,24.414738167143458
slight_shift_full_beam,15,37.42497512379158
strong_shift_full_beam,15,28.862946176883476
full_cover,20,22.09364275690137
narrow_centered,20,10.951065003566095
slight_shift_full_beam,20,20.53742101738525
strong_shift_full_beam,20,12.55372194618986
