case,median_clean_fit_mse,median_final_error_percent,median_test_rel_rmse_percent,median_train_rel_rmse_percent,median_used_fit_mse,model
full_cover,0.0018480787021172298,5.0781100538100965,17.194362413316895,5.1045959301820325,0.0019542521909690054,NODE-2state
full_cover,0.0009718644604290523,-10.950788970392104,13.555760478412651,3.7531132181671176,0.0010775698128099567,ODE-2state
full_cover,0.0008222484348567385,12.961161061709205,22.09364275690137,3.102072857994406,0.0009072080555061707,PI-NODE-2state
narrow_centered,0.0019088023134431302,-28.418810749132717,24.22513536329992,4.167825406743298,0.002113147605290954,NODE-2state
narrow_centered,0.001180843090992543,-25.823436316566177,17.637193514651205,3.4333401345799786,0.00154475523142288,ODE-2state
narrow_centered,0.0006235535323194864,-1.3112691160262764,10.951065003566095,2.307891347429572,0.0008444573586359313,PI-NODE-2state
slight_shift_full_beam,0.0018829228505196332,-8.92018617486989,17.666360706976086,4.896982037399439,0.001991165982297866,NODE-2state
slight_shift_full_beam,0.0008889128533962219,-15.52313701602045,13.196781818347223,3.4958639619853455,0.0010031416954156811,ODE-2state
slight_shift_full_beam,0.000783090796939206,13.64313015070327,20.53742101738525,3.072441882802454,0.0008721429890839568,PI-NODE-2state
strong_shift_full_beam,0.0021245461795827633,-24.049740049628184,20.822528244970094,4.992749203268859,0.0023039521696537543,NODE-2state
strong_shift_full_beam,0.0008592472698244945,-24.460339578691688,17.072216740473777,3.3678422107657937,0.000931135711773501,ODE-2state
strong_shift_full_beam,0.0007538074074605577,3.3874704298337175,12.55372194618986,2.78945457375199,0.0009137057781882634,PI-NODE-2state
