case,median_abs_e80,median_test_rmse,model,seconds
full_cover,10.950788970392104,13.555760478412651,ODE-2state,10.98196587502025
full_cover,12.961161061709205,22.09364275690137,PI-NODE(paper),13.862932417076081
full_cover,9.843195979333466,16.85797498410851,UDE per-member (accurate),20.132582542020828
full_cover,7.64613472273546,14.150958548801398,UDE shared (fast),9.141081457957625
narrow_centered,25.823436316566177,17.637193514651205,ODE-2state,6.363247999921441
narrow_centered,5.554722094565802,10.951065003566095,PI-NODE(paper),14.086643459042534
narrow_centered,17.192457728944223,14.852346205680838,UDE per-member (accurate),14.781025542062707
narrow_centered,18.652754645898703,15.599183870319454,UDE shared (fast),8.739283917006105
slight_shift_full_beam,15.52313701602045,13.196781818347223,ODE-2state,11.347518375026993
slight_shift_full_beam,13.64313015070327,20.53742101738525,PI-NODE(paper),13.190055667073466
slight_shift_full_beam,10.448049661277693,15.0473660314827,UDE per-member (accurate),20.497766457963735
slight_shift_full_beam,5.756655113749265,14.021666169006174,UDE shared (fast),9.500861749984324
strong_shift_full_beam,24.460339578691688,17.072216740473777,ODE-2state,10.866830833954737
strong_shift_full_beam,5.368296844134267,12.55372194618986,PI-NODE(paper),16.557012166944332
strong_shift_full_beam,14.64698457317606,11.480355843868946,UDE per-member (accurate),19.429049666039646
strong_shift_full_beam,18.627238354630197,21.78313478694657,UDE shared (fast),8.77060337504372
