abs_e80_percent,case,omega,s_r,test_rel_rmse_percent
19.87513544180455,full_cover,0.02,0.05,23.51457763704643
6.752300918155386,narrow_centered,0.02,0.05,12.661357540489258
16.323221454322237,slight_shift_full_beam,0.02,0.05,22.49427175296787
8.044424505128484,strong_shift_full_beam,0.02,0.05,15.58453925140919
14.155261002197125,full_cover,0.02,0.1,21.70893016000113
5.838732870769455,narrow_centered,0.02,0.1,11.4460304997625
14.79006558390402,slight_shift_full_beam,0.02,0.1,21.27077057975398
4.752420770921718,strong_shift_full_beam,0.02,0.1,13.364303471235807
12.794452612692318,full_cover,0.02,0.2,22.390639692793798
4.474228674816072,narrow_centered,0.02,0.2,11.046306530221516
12.624398385142579,slight_shift_full_beam,0.02,0.2,21.087602632127265
8.55313175582402,strong_shift_full_beam,0.02,0.2,12.886148161268412
16.921243739412848,full_cover,0.05,0.05,22.670005598292793
7.2435954358786985,narrow_centered,0.05,0.05,11.790179178613961
16.974250400861415,slight_shift_full_beam,0.05,0.05,21.825699020258767
6.945030170620772,strong_shift_full_beam,0.05,0.05,14.519588379904018
12.961161061709205,full_cover,0.05,0.1,22.09364275690137
5.554722094565802,narrow_centered,0.05,0.1,10.951065003566095
13.64313015070327,slight_shift_full_beam,0.05,0.1,20.53742101738525
5.368296844134267,strong_shift_full_beam,0.05,0.1,12.55372194618986
10.554130985698006,full_cover,0.05,0.2,21.47072304068654
4.050190127192482,narrow_centered,0.05,0.2,10.092595467452195
13.717386748541873,slight_shift_full_beam,0.05,0.2,20.693412284692016
6.014686794540578,strong_shift_full_beam,0.05,0.2,11.887497834729857
19.478335147029238,full_cover,0.1,0.05,23.092081697824128
6.100156981249384,narrow_centered,0.1,0.05,9.861324843762674
17.88878863084968,slight_shift_full_beam,0.1,0.05,20.897302616831826
5.790613186484934,strong_shift_full_beam,0.1,0.05,12.977158842573516
13.29890079669639,full_cover,0.1,0.1,21.167052640632548
5.801157153197102,narrow_centered,0.1,0.1,9.929640279986678
11.666033179018086,slight_shift_full_beam,0.1,0.1,18.77009245481873
4.7962062064059285,strong_shift_full_beam,0.1,0.1,12.629760129434874
10.243159746333355,full_cover,0.1,0.2,20.109559387140518
5.4550234894296885,narrow_centered,0.1,0.2,8.958132755016955
10.844827540228739,slight_shift_full_beam,0.1,0.2,19.207423345381635
5.135467516053074,strong_shift_full_beam,0.1,0.2,11.160105772852907
15.003710771286755,full_cover,0.2,0.05,18.278632372422273
7.692271873457846,narrow_centered,0.2,0.05,9.530992924560778
13.371427715332642,slight_shift_full_beam,0.2,0.05,15.025416879693545
5.077198962135349,strong_shift_full_beam,0.2,0.05,9.685341813318132
11.377774140993417,full_cover,0.2,0.1,19.28826633267085
5.8118794743802145,narrow_centered,0.2,0.1,9.05604897017464
13.430666575907479,slight_shift_full_beam,0.2,0.1,16.56073832182619
5.826179494662202,strong_shift_full_beam,0.2,0.1,10.194356465416384
9.750525937773261,full_cover,0.2,0.2,17.80159918634385
5.712148154777461,narrow_centered,0.2,0.2,9.263919664377596
11.12945348685608,slight_shift_full_beam,0.2,0.2,15.841576075049879
6.332866664291153,strong_shift_full_beam,0.2,0.2,9.92964051322034
